G535,
1.0,0.0
0.99,0.003165263432541369
0.98,0.00629115124338849
0.97,0.009377407337964928
0.96,0.012423775621694244
0.95,0.01543
0.94,0.018395824378305756
0.9299999999999999,0.021320992662035073
0.92,0.024205248756611487
0.91,0.02704833656745862
0.9,0.02985
0.89,0.032610151006947405
0.88,0.0353293737301655
0.87,0.03800842035880716
0.86,0.040648043082025256
0.85,0.04324899408897266
0.84,0.04581202556880225
0.83,0.048337889710666916
0.8200000000000001,0.0508273387037195
0.81,0.0532811247371129
0.8,0.0557
0.79,0.05808483253966903
0.78,0.06043695383594953
0.77,0.0627578112268065
0.76,0.06504885205020484
0.75,0.06731152364410944
0.74,0.06954727334648533
0.73,0.07175754849529739
0.72,0.07394379642851058
0.71,0.0761074644840898
0.7,0.07825
0.69,0.08037241883437654
0.6799999999999999,0.0824740109260364
0.6699999999999999,0.08455363473396692
0.6599999999999999,0.08661014871715554
0.6499999999999999,0.0886424113345896
0.64,0.09064928104525646
0.63,0.09262961630814356
0.62,0.09458227558223826
0.61,0.09650611732652796
0.6,0.09840000000000002
0.59,0.10026259212282482
0.5800000000000001,0.1020918024599049
0.5700000000000001,0.1038853498373258
0.56,0.10564095308117309
0.55,0.10735633101753222
0.54,0.10902920247248879
0.53,0.11065728627212831
0.52,0.11223830124253636
0.51,0.1137699662097984
0.5,0.11525
0.49,0.1166765126743242
0.48,0.11804917923434396
0.47,0.11936806591672977
0.45999999999999996,0.12063323895815213
0.44999999999999996,0.12184476459528147
0.43999999999999995,0.12300270906478832
0.42999999999999994,0.1241071386033431
0.42000000000000004,0.1251581194476163
0.41000000000000003,0.12615571783427845
0.4,0.1271
0.39,0.12798985717987835
0.38,0.12881948060271917
0.37,0.12958188649575497
0.36,0.13027009108621831
0.35,0.13087711060134175
0.33999999999999997,0.13139596126835784
0.32999999999999996,0.13181965931449915
0.31999999999999995,0.13214122096699826
0.30999999999999994,0.13235366245308766
0.29999999999999993,0.13245000000000004
0.29000000000000004,0.13242355860616223
0.28,0.1322688983547792
0.27,0.13198088810025022
0.26,0.13155439669697452
0.25,0.1309842929993514
0.24,0.13026544586178018
0.22999999999999998,0.12939272413866018
0.21999999999999997,0.12836099668439058
0.20999999999999996,0.12716513235337076
0.19999999999999996,0.1258
0.18999999999999995,0.12426026265626264
0.17999999999999994,0.12253976006448385
0.16999999999999993,0.12063212614457366
0.16000000000000003,0.11853099481644236
0.15000000000000002,0.11623
0.14,0.11371594152883693
0.13,0.11094828289126427
0.12,0.10787965348927304
0.10999999999999999,0.10446268272485458
0.09999999999999998,0.10065
0.08999999999999997,0.09639639895276303
0.07999999999999996,0.0916653301654476
0.06999999999999995,0.08642486073204658
0.05999999999999994,0.08069946008596096
0.04999999999999993,0.07456999999999994
0.040000000000000036,0.06796073867917515
0.030000000000000027,0.06015967095480158
0.020000000000000018,0.050295725814770445
0.010000000000000009,0.03749783224697277
0.0,0.0
0.010101010101010102,-0.017058931248078734
0.020202020202020204,-0.02453890836145188
0.030303030303030304,-0.028259136653509
0.04040404040404041,-0.03106298370493324
0.05050505050505051,-0.033005904138101186
0.06060606060606061,-0.03411728566332857
0.07070707070707072,-0.03470686204469678
0.08080808080808081,-0.03513171542654587
0.09090909090909091,-0.035534381509751474
0.10101010101010102,-0.03588103728108029
0.11111111111111112,-0.03614113464856104
0.12121212121212122,-0.03630940934522209
0.13131313131313133,-0.036385271694105756
0.14141414141414144,-0.03636813201825432
0.15151515151515152,-0.03625740886376556
0.16161616161616163,-0.0360561934369813
0.17171717171717174,-0.03577701853477519
0.18181818181818182,-0.035433913245569
0.19191919191919193,-0.03504090665778452
0.20202020202020204,-0.03461199999487083
0.21212121212121213,-0.03415528710606326
0.22222222222222224,-0.03366568170850724
0.23232323232323235,-0.033136314161094936
0.24242424242424243,-0.03256031482271856
0.25252525252525254,-0.03193081405227031
0.26262626262626265,-0.031240942208642347
0.27272727272727276,-0.03048382965072689
0.2828282828282829,-0.029652606737416144
0.29292929292929293,-0.028740403827602283
0.30303030303030304,-0.02774042311278595
0.31313131313131315,-0.02665142449998794
0.32323232323232326,-0.0254815886098034
0.33333333333333337,-0.024240008603001437
0.3434343434343435,-0.02293577764035117
0.3535353535353536,-0.021577988882621725
0.36363636363636365,-0.020175735490582217
0.37373737373737376,-0.018738110625001747
0.38383838383838387,-0.017274207446649426
0.393939393939394,-0.015793119116294385
0.4040404040404041,-0.014303856897551868
0.4141414141414142,-0.012812248302181025
0.42424242424242425,-0.011319985035671325
0.43434343434343436,-0.00982848240061795
0.4444444444444445,-0.008339155699616107
0.4545454545454546,-0.0068534202352609885
0.4646464646464647,-0.005372691310147798
0.4747474747474748,-0.0038983842268717345
0.48484848484848486,-0.0024319142880280006
0.494949494949495,-0.0009746967962117842
0.5050505050505051,0.0004716745091086713
0.5151515151515152,0.0019015018403851875
0.5252525252525253,0.003304983361989608
0.5353535353535354,0.00467213880142078
0.5454545454545455,0.005992987886177541
0.5555555555555556,0.007257550343758694
0.5656565656565657,0.008455845901663093
0.5757575757575758,0.009577894287389538
0.5858585858585859,0.010613715228436868
0.595959595959596,0.011553328452303932
0.6060606060606061,0.012387376721572432
0.6161616161616162,0.013115825249694332
0.6262626262626263,0.013745815691261747
0.6363636363636365,0.014284674303854338
0.6464646464646465,0.014739727345051742
0.6565656565656566,0.015118301072433615
0.6666666666666667,0.015427721743579613
0.6767676767676768,0.015675315616069385
0.686868686868687,0.015868408947482586
0.696969696969697,0.016014327995398862
0.7070707070707072,0.016119935965530876
0.7171717171717172,0.016187315694317157
