G535,
1.0,0.0
0.99,0.0031652881260945663
0.98,0.006291184168126089
0.97,0.009377436147110325
0.96,0.012423792084063044
0.95,0.015430000000000001
0.94,0.018395807915936962
0.9299999999999999,0.021320963852889674
0.92,0.024205215831873895
0.91,0.027048311873905426
0.9,0.029850000000000005
0.89,0.03261019422066551
0.88,0.03532947250437829
0.87,0.038008578809106845
0.86,0.040648257092819634
0.85,0.04324925131348513
0.84,0.045812305429071824
0.83,0.048338163397548185
0.8200000000000001,0.05082756917688267
0.81,0.05328126672504379
0.8,0.0557
0.79,0.05808463499124344
0.78,0.060436525814360785
0.77,0.06275714861646237
0.76,0.06504797954465852
0.75,0.06731049474605956
0.74,0.06954617036777586
0.73,0.0717564825569177
0.72,0.07394290746059547
0.71,0.07610692122591946
0.7,0.07825
0.69,0.08037316581436078
0.6799999999999999,0.08247562423817865
0.6699999999999999,0.0845561267250438
0.6599999999999999,0.08661342472854644
0.6499999999999999,0.08864626970227674
0.64,0.09065341309982486
0.63,0.09263360637478107
0.62,0.09458560098073554
0.61,0.09650814837127845
0.6,0.09840000000000002
0.59,0.10025980175131347
0.5800000000000001,0.10208577723292468
0.5700000000000001,0.10387604448336252
0.56,0.10562872154115585
0.55,0.10734192644483362
0.54,0.10901377723292469
0.53,0.11064239194395795
0.52,0.11222588861646234
0.51,0.1137623852889667
0.5,0.11524999999999999
0.49,0.11668692718038529
0.48,0.1180716668301226
0.47,0.11940279534150613
0.45999999999999996,0.1206788891068301
0.44999999999999996,0.12189852451838878
0.43999999999999995,0.12306027796847636
0.42999999999999994,0.124162725849387
0.42000000000000004,0.12520444455341503
0.41000000000000003,0.1261840104728546
0.4,0.1271
0.39,0.12795098952714534
0.38,0.12873555544658488
0.37,0.12945227415061292
0.36,0.1300997220315236
0.35,0.13067647548161118
0.33999999999999997,0.13118111089316986
0.32999999999999996,0.13161220465849383
0.31999999999999995,0.1319683331698774
0.30999999999999994,0.13224807281961473
0.29999999999999993,0.13245
0.29000000000000004,0.1325726911033275
0.28,0.1326147225218915
0.27,0.1325746706479861
0.26,0.1324511118739055
0.25,0.13224262259194414
0.24,0.13194777919439596
0.22999999999999998,0.1315651580735554
0.21999999999999997,0.13109333562171654
0.20999999999999996,0.13053088823117373
0.19999999999999996,0.12987639229422096
0.18999999999999995,0.12912842420315265
0.17999999999999994,0.1282855603502631
0.16999999999999993,0.12734637712784638
0.16000000000000003,0.1263094509281968
0.15000000000000002,0.12517335814360844
0.14,0.12393667516637547
0.13,0.12259797838879252
0.12,0.12115584420315344
0.10999999999999999,0.11960884900175225
0.09999999999999998,0.11795556917688371
0.08999999999999997,0.11619458112084198
0.07999999999999996,0.11432446122592071
0.06999999999999995,0.11234378588441431
0.05999999999999994,0.11025113148861806
0.04999999999999993,0.1080450744308251
0.040000000000000036,0.1057241911033292
0.030000000000000027,0.10328705789842602
0.020000000000000018,0.10073225120840862
0.010000000000000009,0.09805834742557128
0.0,0.0
0.010101010101010102,-0.017058931248078734
0.020202020202020204,-0.024538908361451877
0.030303030303030304,-0.028259136653509
0.04040404040404041,-0.031062983704933243
0.05050505050505051,-0.033005904138101186
0.06060606060606061,-0.03411728566332856
0.07070707070707072,-0.03470686204469678
0.08080808080808081,-0.035131715426545876
0.09090909090909091,-0.035534381509751474
0.10101010101010102,-0.03588103728108029
0.11111111111111112,-0.03614113464856104
0.12121212121212122,-0.03630940934522209
0.13131313131313133,-0.036385271694105756
0.14141414141414144,-0.03636813201825431
0.15151515151515152,-0.03625740886376556
0.16161616161616163,-0.0360561934369813
0.17171717171717174,-0.03577701853477518
0.18181818181818182,-0.035433913245569
0.19191919191919193,-0.03504090665778452
0.20202020202020204,-0.03461199999487082
0.21212121212121213,-0.03415528710606326
0.22222222222222224,-0.03366568170850724
0.23232323232323235,-0.033136314161094936
0.24242424242424243,-0.03256031482271857
0.25252525252525254,-0.0319308140522703
0.26262626262626265,-0.031240942208642347
0.27272727272727276,-0.030483829650726893
0.2828282828282829,-0.029652606737416144
0.29292929292929293,-0.028740403827602283
0.30303030303030304,-0.027740423112785947
0.31313131313131315,-0.026651424499987936
0.32323232323232326,-0.0254815886098034
0.33333333333333337,-0.024240008603001437
0.3434343434343435,-0.02293577764035117
0.3535353535353536,-0.02157798888262173
0.36363636363636365,-0.020175735490582217
0.37373737373737376,-0.018738110625001747
0.38383838383838387,-0.017274207446649422
0.393939393939394,-0.01579311911629438
0.4040404040404041,-0.014303856897551868
0.4141414141414142,-0.012812248302181027
0.42424242424242425,-0.011319985035671325
0.43434343434343436,-0.00982848240061795
0.4444444444444445,-0.008339155699616107
0.4545454545454546,-0.006853420235260988
0.4646464646464647,-0.005372691310147799
0.4747474747474748,-0.0038983842268717345
0.48484848484848486,-0.002431914288028001
0.494949494949495,-0.0009746967962117842
0.5050505050505051,0.0004716745091086713
0.5151515151515152,0.0019015018403851875
0.5252525252525253,0.0033049833619896085
0.5353535353535354,0.004672138801420779
0.5454545454545455,0.005992987886177541
0.5555555555555556,0.007257550343758694
